Date,Home Team,Home Score,Away Team,Away Score
2019-11-22,Wheaton,66,Bronaugh,30
2019-11-22,Woodland,34,Clearwater,56
2019-11-22,Viburnum,38,Couch,60
2019-11-22,Green Ridge,34,Crest Ridge,72
2019-11-22,Northwest (Cedar Hill),40,DeSoto,64
2019-11-22,Trenton,28,East Buchanan,71
2019-11-22,Diamond,57,Exeter,36
2019-11-22,Linn,65,Iberia,57
2019-11-22,Sacred Heart,57,Leeton,70
2019-11-22,Dadeville,48,Lockwood,61
2019-11-22,School of the Ozarks,55,Lutie,47
2019-11-22,Silex,36,Missouri Military Academy,45
2019-11-22,Hermitage,31,Montrose,63
2019-11-22,Summersville,47,Naylor,46
2019-11-22,Sheldon,32,New Heights Christian,64
2019-11-22,Galena,53,Niangua,24
2019-11-22,Bevier,25,North Shelby,61
2019-11-22,Wheatland,58,Northeast Vernon County,57
2019-11-22,Sparta,40,Norwood,75
2019-11-22,Ballard,40,Osceola,52
2019-11-22,Conway,72,Plato,87
2019-11-22,Roosevelt,74,Poplar Bluff,100
2019-11-22,Slater,86,Prairie Home,57
2019-11-22,Miami (Amoret),52,Rich Hill,64
2019-11-22,Chadwick,69,Seymour,66
2019-11-22,Concordia,70,Smithton,64
2019-11-22,New Covenant Academy,41,Spokane,59
2019-11-22,Cooter,89,St. Paul Lutheran (Farmington),39
2019-11-22,KIPP St. Louis Sr.,58,Transportation and Law,40
2019-11-22,Crocker,55,Tuscumbia,21
2019-11-22,Fatima,73,Vienna,42
2019-11-22,Wright City,62,Warrenton,70
2019-11-22,Macks Creek,61,Weaubleau,76
2019-11-23,Naylor,59,Couch,38
2019-11-23,Winfield,59,Elsberry,45
2019-11-23,Meadville,44,Glasgow,52
2019-11-23,Sturgeon,29,Hallsville,64
2019-11-23,New Bloomfield,54,Harrisburg,72
2019-11-23,Madison,25,Higbee,65
2019-11-23,New Franklin,63,La Plata,45
2019-11-23,Salem,72,Newburg,49
2019-11-23,Capital City,58,Rolla,63
2019-11-23,Newburg,49,Salem,72
